# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.0558618279e+01    2.4563429672e-01    1.3999188821e+01    1.4000000000e+01    0.0000000000e+00   -1.0581952380e+01    1.0000000000e+00    1.0000000000e+00
         1   -1.0379392394e+01    4.8934409688e-01    6.3971281514e+01    1.4000000000e+01    0.0000000000e+00    2.9341812108e+02    1.0000000000e+00    1.0000000000e+00
         2   -1.0462548148e+01    3.7137805254e-01    6.3043586093e+01    6.3000000000e+01    0.0000000000e+00   -1.0289626985e+01    1.0000000000e+00    1.0000000000e+00
         3   -1.0461379707e+01    3.4948709283e-01    6.3955287683e+01    6.3000000000e+01    0.0000000000e+00   -7.4511974606e+00    1.0000000000e+00    1.0000000000e+00
         4   -1.0435467065e+01    3.3153690952e-01    6.5039851747e+01    6.5000000000e+01    0.0000000000e+00   -1.0321604884e+01    9.9564896545e-01    1.0000000000e+00
         5   -1.0485966639e+01    3.1453655624e-01    6.3969931219e+01    6.5000000000e+01    0.0000000000e+00   -1.3658887559e+01    1.0000000000e+00    9.8461538462e-01
         6   -1.0445541329e+01    2.5611312381e-01    6.4024451950e+01    6.4000000000e+01    0.0000000000e+00   -1.0391979616e+01    1.0000000000e+00    1.0000000000e+00
         7   -1.0446453793e+01    2.5762956018e-01    6.3975535855e+01    6.4000000000e+01    0.0000000000e+00   -1.0521939079e+01    1.0000000000e+00    1.0000000000e+00
         8   -1.0458751414e+01    3.4502480380e-01    6.4026216252e+01    6.4000000000e+01    0.0000000000e+00   -1.0369988726e+01    1.0000000000e+00    1.0000000000e+00
         9   -1.0441007283e+01    2.8341253598e-01    6.5972997960e+01    6.6000000000e+01    0.0000000000e+00   -1.0540660426e+01    9.9787150355e-01    1.0000000000e+00
        10   -1.0464791707e+01    3.2235410819e-01    6.5002510761e+01    6.7000000000e+01    0.0000000000e+00   -1.6513497910e+01    1.0000000000e+00    9.8507462687e-01
        11   -1.0522339167e+01    5.4702111553e-01    6.4991699706e+01    6.6000000000e+01    0.0000000000e+00   -1.3573354284e+01    9.9517993035e-01    9.8484848485e-01
        12   -1.0540301701e+01    3.9859858178e-01    6.4011123427e+01    6.5000000000e+01    0.0000000000e+00   -1.3597635478e+01    9.9501464625e-01    9.5384615385e-01
        13   -1.0498453357e+01    2.8939189161e-01    6.1983987225e+01    6.2000000000e+01    0.0000000000e+00   -1.0575059390e+01    9.9656746194e-01    1.0000000000e+00
        14   -1.0480092115e+01    2.6083659441e-01    6.4010094164e+01    6.2000000000e+01    0.0000000000e+00   -4.0970529090e+00    1.0000000000e+00    1.0000000000e+00
        15   -1.0501375163e+01    3.6312201694e-01    6.3990812989e+01    6.4000000000e+01    0.0000000000e+00   -1.0511633891e+01    9.9627010415e-01    1.0000000000e+00
        16   -1.0361249272e+01    4.4041849580e-01    6.3986515944e+01    6.4000000000e+01    0.0000000000e+00   -1.0472663691e+01    1.0000000000e+00    1.0000000000e+00
        17   -1.0421243222e+01    4.7447363774e-01    6.4022774720e+01    6.4000000000e+01    0.0000000000e+00   -1.0319107156e+01    9.8495463280e-01    1.0000000000e+00
