#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0457881212e+01    1.0971690409e+02   -2.2253551618e+01    1.1795670407e+01   -7.0499487035e+00    3.4820753454e-01   -2.7761430262e+00   -1.2775667423e+01    1.2319774922e+03    1.7294000000e-02    9.9852195946e-01
         1   -1.0493065471e+01    1.1043499226e+02   -2.2035587473e+01    1.1542522002e+01   -6.8983656596e+00    3.8724507506e-01   -2.7487994652e+00   -1.2775667423e+01    1.2759818486e+03    1.5995000000e-02    9.9882075472e-01
         2   -1.0470052584e+01    1.1000478092e+02   -2.2955678978e+01    1.2485626394e+01   -7.8737082091e+00    3.8665986314e-01   -2.6929632085e+00   -1.2775667423e+01    1.2949378022e+03    1.5195000000e-02    9.9768339768e-01
         3   -1.0506566147e+01    1.1076569129e+02   -2.2823754730e+01    1.2317188583e+01   -7.8057566838e+00    5.1454145082e-01   -2.7568720735e+00   -1.2775667423e+01    1.3000805259e+03    1.5587000000e-02    9.9817307692e-01
         4   -1.0532605336e+01    1.1131556865e+02   -2.2914059350e+01    1.2381454014e+01   -8.0875259120e+00    5.3923611125e-01   -2.5901021262e+00   -1.2775667423e+01    1.2702657921e+03    1.5800000000e-02    9.9685039370e-01
         5   -1.0604395744e+01    1.1306731555e+02   -2.2678484746e+01    1.2074089002e+01   -8.2051416831e+00    7.3854330443e-01   -2.4362189440e+00   -1.2775667423e+01    1.2476761919e+03    1.5193000000e-02    9.9799518845e-01
         6   -1.0585681968e+01    1.1239881843e+02   -2.2232487532e+01    1.1646805563e+01   -7.5523846209e+00    6.4353493535e-01   -2.5479704227e+00   -1.2775667423e+01    1.2345198483e+03    1.5051000000e-02    9.9746758509e-01
         7   -1.0593839419e+01    1.1273980607e+02   -2.1936086215e+01    1.1342246795e+01   -7.1664582025e+00    6.9071206389e-01   -2.6846726528e+00   -1.2775667423e+01    1.2603790862e+03    1.5758000000e-02    9.9742063492e-01
         8   -1.0496772850e+01    1.1049575186e+02   -2.1381849329e+01    1.0885076480e+01   -6.6986425774e+00    8.3397576707e-01   -2.7415150957e+00   -1.2775667423e+01    1.2428478139e+03    1.5362000000e-02    9.9818986323e-01
         9   -1.0458921147e+01    1.0965232221e+02   -2.1468713613e+01    1.1009792466e+01   -6.5099638037e+00    6.5829923653e-01   -2.8413816227e+00   -1.2775667423e+01    1.2178256741e+03    1.5245000000e-02    9.9866584565e-01
        10   -1.0495941198e+01    1.1050613633e+02   -2.1534019379e+01    1.1038078181e+01   -6.6444542910e+00    6.5965299915e-01   -2.7735506638e+00   -1.2775667423e+01    1.1951902806e+03    1.4944000000e-02    9.9801255230e-01
        11   -1.0638899895e+01    1.1352586588e+02   -2.1464685064e+01    1.0825785169e+01   -6.6986257049e+00    7.2887067579e-01   -2.7192626114e+00   -1.2775667423e+01    1.1800613961e+03    1.4809000000e-02    9.9734944869e-01
        12   -1.0580002419e+01    1.1229380659e+02   -2.1514300828e+01    1.0934298409e+01   -6.6266514479e+00    6.0921876081e-01   -2.7212007180e+00   -1.2775667423e+01    1.2374984652e+03    1.4858000000e-02    9.9808003234e-01
        13   -1.0475386653e+01    1.1005099308e+02   -2.1572363409e+01    1.1096976757e+01   -6.7417555904e+00    6.8382009744e-01   -2.7387604931e+00   -1.2775667423e+01    1.2457556638e+03    1.4851000000e-02    9.9809390048e-01
        14   -1.0474301084e+01    1.0996401117e+02   -2.1319063610e+01    1.0844762526e+01   -6.2711591571e+00    4.7137631160e-01   -2.7436133412e+00   -1.2775667423e+01    1.2637052720e+03    1.4932000000e-02    9.9851661392e-01
        15   -1.0464136679e+01    1.0986483392e+02   -2.1947135669e+01    1.1482998990e+01   -6.7129631054e+00    2.1735795823e-01   -2.6758630982e+00   -1.2775667423e+01    1.3004642037e+03    1.5120000000e-02    9.9759800154e-01
        16   -1.0463449554e+01    1.0991921865e+02   -2.2249288737e+01    1.1785839183e+01   -7.0316661154e+00    3.8015711691e-01   -2.8221123150e+00   -1.2775667423e+01    1.3094308030e+03    1.5267000000e-02    9.9761450382e-01
        17   -1.0571003607e+01    1.1200570480e+02   -2.1511058034e+01    1.0940054428e+01   -6.4820235219e+00    5.1639325603e-01   -2.7697603451e+00   -1.2775667423e+01    1.3001945138e+03    1.5479000000e-02    9.9721153846e-01
        18   -1.0623099692e+01    1.1318441980e+02   -2.1207022703e+01    1.0583923011e+01   -6.3915526111e+00    8.0268131035e-01   -2.8424839789e+00   -1.2775667423e+01    1.3004879930e+03    1.5153000000e-02    9.9807692308e-01
        19   -1.0623882298e+01    1.1324999008e+02   -2.1977428981e+01    1.1353546683e+01   -6.9388637446e+00    5.9866899054e-01   -2.8615668038e+00   -1.2775667423e+01    1.3074495874e+03    1.5637000000e-02    9.9799158378e-01
        20   -1.0540669883e+01    1.1144165966e+02   -2.1658949691e+01    1.1118279808e+01   -6.7885754469e+00    6.2753012725e-01   -2.7222369478e+00   -1.2775667423e+01    1.3098788529e+03    1.5933000000e-02    9.9770992366e-01
        21   -1.0502459572e+01    1.1068059697e+02   -2.1762897391e+01    1.1260437819e+01   -7.1540909343e+00    7.2313563796e-01   -2.5562746712e+00   -1.2775667423e+01    1.2847580581e+03    1.5523000000e-02    9.9766536965e-01
        22   -1.0513295625e+01    1.1082724668e+02   -2.2166571614e+01    1.1653275989e+01   -7.5125421028e+00    7.7832332387e-01   -2.6566854112e+00   -1.2775667423e+01    1.2788569781e+03    1.5431000000e-02    9.9716575450e-01
        23   -1.0537517635e+01    1.1154756248e+02   -2.2353440305e+01    1.1815922671e+01   -7.8566216747e+00    9.5719162827e-01   -2.6783428357e+00   -1.2775667423e+01    1.2839119223e+03    1.5489000000e-02    9.9756619938e-01
        24   -1.0541097541e+01    1.1143043927e+02   -2.3005022605e+01    1.2463925064e+01   -8.2549907463e+00    7.4352921389e-01   -2.7178936491e+00   -1.2775667423e+01    1.2441983786e+03    1.5141000000e-02    9.9849276527e-01
        25   -1.0536550341e+01    1.1133874112e+02   -2.2124264253e+01    1.1587713911e+01   -7.3755274002e+00    7.4179038769e-01   -2.7148598168e+00   -1.2775667423e+01    1.2342464755e+03    1.4854000000e-02    9.9736628849e-01
        26   -1.0595356573e+01    1.1258884755e+02   -2.1796203436e+01    1.1200846864e+01   -6.9962248287e+00    7.5235388078e-01   -2.7766650651e+00   -1.2775667423e+01    1.2525069535e+03    1.4715000000e-02    9.9800319489e-01
        27   -1.0490147669e+01    1.1039889995e+02   -2.2362774837e+01    1.1872627168e+01   -7.3042620252e+00    4.7446314592e-01   -2.7573085338e+00   -1.2775667423e+01    1.2886578460e+03    1.6140000000e-02    9.9738169123e-01
        28   -1.0528355814e+01    1.1115234554e+02   -2.2393404653e+01    1.1865048839e+01   -7.5964032059e+00    6.9312779981e-01   -2.7144618233e+00   -1.2775667423e+01    1.3118129446e+03    1.5160000000e-02    9.9714176829e-01
        29   -1.0468874648e+01    1.0995569208e+02   -2.2512487134e+01    1.2043612486e+01   -7.6544455787e+00    4.1995663595e-01   -2.5023307675e+00   -1.2775667423e+01    1.3193532135e+03    1.5603000000e-02    9.9734848485e-01
        30   -1.0440721997e+01    1.0932184522e+02   -2.1924897928e+01    1.1484175931e+01   -7.0103061164e+00    5.2778793807e-01   -2.6667123268e+00   -1.2775667423e+01    1.3261661306e+03    1.5906000000e-02    9.9830444612e-01
        31   -1.0459267670e+01    1.0967316537e+02   -2.1588847219e+01    1.1129579550e+01   -6.3893885758e+00    3.7443307780e-01   -2.7982242981e+00   -1.2775667423e+01    1.2865213638e+03    1.5199000000e-02    9.9815462315e-01
        32   -1.0542345416e+01    1.1148316882e+02   -2.1153148544e+01    1.0610803128e+01   -6.3446516216e+00    7.5710089105e-01   -2.7899303902e+00   -1.2775667423e+01    1.3188984159e+03    1.5520000000e-02    9.9744124337e-01
