#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.0820968921e+00    4.4836139488e+00   -4.7901316810e+00    2.7080347889e+00    1.7994772381e+00   -8.4616235138e+00    1.8720145947e+00    1.4000000000e+03    1.0406000000e-02    9.8375000000e-01
         1   -2.0974845248e+00    4.5237358656e+00   -4.2406300393e+00    2.1431455145e+00    1.7456554035e+00   -7.8583000374e+00    1.8720145947e+00    1.4000000000e+03    9.3840000000e-03    9.8803571429e-01
         2   -2.1756852182e+00    4.8762388352e+00   -4.2456126875e+00    2.0699274693e+00    1.8315647611e+00   -7.9491920432e+00    1.8720145947e+00    1.4000000000e+03    1.0238000000e-02    9.8696428571e-01
         3   -2.1490814238e+00    4.7929112376e+00   -4.1532397131e+00    2.0041582893e+00    1.8532616919e+00   -7.8785159996e+00    1.8720145947e+00    1.4000000000e+03    1.0306000000e-02    9.8892857143e-01
         4   -2.0798236197e+00    4.4827875103e+00   -4.4008178795e+00    2.3209942598e+00    1.8074941504e+00   -8.0803266245e+00    1.8720145947e+00    1.4000000000e+03    1.0447000000e-02    9.8839285714e-01
         5   -2.1232166240e+00    4.6740576379e+00   -4.1763535388e+00    2.0531369148e+00    1.7597452988e+00   -7.8081134322e+00    1.8720145947e+00    1.4000000000e+03    1.0601000000e-02    9.8642857143e-01
         6   -2.1568892274e+00    4.8066442348e+00   -4.2289021024e+00    2.0720128751e+00    1.7709785087e+00   -7.8718952058e+00    1.8720145947e+00    1.4000000000e+03    1.0440000000e-02    9.8946428571e-01
         7   -2.1084588136e+00    4.5932433459e+00   -4.4387678203e+00    2.3303090068e+00    1.8659863264e+00   -8.1767687413e+00    1.8720145947e+00    1.4000000000e+03    1.0032000000e-02    9.8732142857e-01
         8   -2.1788980143e+00    4.8729853920e+00   -4.1675765949e+00    1.9886785806e+00    1.7202211898e+00   -7.7598123793e+00    1.8720145947e+00    1.4000000000e+03    1.0375000000e-02    9.8732142857e-01
         9   -2.1291167485e+00    4.6688718185e+00   -4.0941844944e+00    1.9650677460e+00    1.8092513465e+00   -7.7754504356e+00    1.8720145947e+00    1.4000000000e+03    1.0194000000e-02    9.8982142857e-01
        10   -2.1532676699e+00    4.7520194772e+00   -4.0902713917e+00    1.9370037218e+00    1.8327294848e+00   -7.7950154712e+00    1.8720145947e+00    1.4000000000e+03    1.0292000000e-02    9.8928571429e-01
        11   -2.1050142236e+00    4.6027376144e+00   -4.7155420769e+00    2.6105278533e+00    1.8661295961e+00   -8.4536862676e+00    1.8720145947e+00    1.4000000000e+03    1.0302000000e-02    9.8303571429e-01
        12   -2.1642635444e+00    4.8257033498e+00   -4.1915509485e+00    2.0272874041e+00    1.7253766563e+00   -7.7889421995e+00    1.8720145947e+00    1.4000000000e+03    1.0333000000e-02    9.8857142857e-01
        13   -2.1294747678e+00    4.7130389840e+00   -4.3456903138e+00    2.2162155460e+00    1.8207265455e+00   -8.0384314539e+00    1.8720145947e+00    1.4000000000e+03    9.9880000000e-03    9.8678571429e-01
        14   -2.1188583434e+00    4.6274122449e+00   -4.2751737965e+00    2.1563154531e+00    1.7790044936e+00   -7.9261928848e+00    1.8720145947e+00    1.4000000000e+03    1.0421000000e-02    9.9107142857e-01
        15   -2.0633146095e+00    4.3916637497e+00   -4.2329689793e+00    2.1696543698e+00    1.8193797144e+00   -7.9243632884e+00    1.8720145947e+00    1.4000000000e+03    9.9720000000e-03    9.8625000000e-01
        16   -2.0707315096e+00    4.4438849182e+00   -4.1783780429e+00    2.1076465333e+00    1.8873525421e+00   -7.9377451796e+00    1.8720145947e+00    1.4000000000e+03    1.0112000000e-02    9.8892857143e-01
        17   -2.1531117322e+00    4.7835568315e+00   -4.6152277246e+00    2.4621159924e+00    1.8342604340e+00   -8.3215027532e+00    1.8720145947e+00    1.4000000000e+03    8.5920000000e-03    9.8785714286e-01
        18   -2.0946034065e+00    4.5256975613e+00   -4.4452064993e+00    2.3506030928e+00    1.7913257555e+00   -8.1085468494e+00    1.8720145947e+00    1.4000000000e+03    8.2830000000e-03    9.9017857143e-01
