#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0339445369e+01    1.0789863255e+02   -2.2596788813e+01    1.2257343444e+01   -7.1103823854e+00    1.6043528979e-01   -2.8711742940e+00   -1.2775667423e+01    1.4000000000e+02    3.1030000000e-03    7.5937500000e-01
         1   -1.0474873637e+01    1.1005020611e+02   -2.2046861802e+01    1.1571988165e+01   -7.2961776551e+00    6.4687202306e-01   -2.6218887466e+00   -1.2775667423e+01    1.4000000000e+02    2.9120000000e-03    7.6071428571e-01
         2   -1.0445401015e+01    1.0940142635e+02   -2.1813744018e+01    1.1368343003e+01   -7.6851049487e+00    8.9281132476e-01   -2.2457829706e+00   -1.2775667423e+01    1.4000000000e+02    2.7310000000e-03    7.6964285714e-01
         3   -1.0521215687e+01    1.1105125917e+02   -2.1529094342e+01    1.1007878655e+01   -6.8788674352e+00    6.4360901353e-01   -2.5181684967e+00   -1.2775667423e+01    1.4000000000e+02    2.7720000000e-03    7.6875000000e-01
         4   -1.0459452989e+01    1.0973583779e+02   -2.1940267099e+01    1.1480814109e+01   -7.0257369092e+00    6.4051403531e-01   -2.7793768013e+00   -1.2775667423e+01    1.4000000000e+02    2.8850000000e-03    7.6696428571e-01
         5   -1.0487603653e+01    1.1023079454e+02   -2.1919305062e+01    1.1431701409e+01   -6.9059456569e+00    6.0420945442e-01   -2.8419014361e+00   -1.2775667423e+01    1.4000000000e+02    2.8860000000e-03    7.6339285714e-01
         6   -1.0513404228e+01    1.1097767360e+02   -2.1595845266e+01    1.1082441038e+01   -6.8988871697e+00    7.4719999459e-01   -2.6684906679e+00   -1.2775667423e+01    1.4000000000e+02    2.8450000000e-03    7.6562500000e-01
         7   -1.0411994128e+01    1.0883169848e+02   -2.2159150813e+01    1.1747156685e+01   -7.4151584896e+00    7.5597950943e-01   -2.7243044091e+00   -1.2775667423e+01    1.4000000000e+02    2.8720000000e-03    7.5669642857e-01
         8   -1.0465866323e+01    1.0990416329e+02   -2.1990504792e+01    1.1524638469e+01   -7.0486678535e+00    5.5529444865e-01   -2.7214639640e+00   -1.2775667423e+01    1.4000000000e+02    2.9620000000e-03    7.6026785714e-01
         9   -1.0444845613e+01    1.0938569210e+02   -2.1430358542e+01    1.0985512929e+01   -6.0209086854e+00    3.3620882458e-01   -2.9699912576e+00   -1.2775667423e+01    1.4000000000e+02    2.9480000000e-03    7.5937500000e-01
        10   -1.0510155677e+01    1.1075065524e+02   -2.1361568758e+01    1.0851413081e+01   -6.2154396351e+00    3.1551345590e-01   -2.6859751558e+00   -1.2775667423e+01    1.4000000000e+02    2.8960000000e-03    7.7544642857e-01
        11   -1.0438602347e+01    1.0925184712e+02   -2.1118562401e+01    1.0679960054e+01   -6.2282440268e+00    5.5844410367e-01   -2.6730950548e+00   -1.2775667423e+01    1.4000000000e+02    2.9200000000e-03    7.7500000000e-01
        12   -1.0552110099e+01    1.1167566249e+02   -2.2373837244e+01    1.1821727145e+01   -7.3447852174e+00    5.5451712796e-01   -2.8079017311e+00   -1.2775667423e+01    1.4000000000e+02    2.8530000000e-03    7.4330357143e-01
        13   -1.0446694264e+01    1.0952735958e+02   -2.2459015751e+01    1.2012321487e+01   -7.0544045879e+00    7.5581747960e-02   -2.7045254879e+00   -1.2775667423e+01    1.4000000000e+02    2.9030000000e-03    7.5401785714e-01
        14   -1.0437840435e+01    1.0925394958e+02   -2.1851760281e+01    1.1413919846e+01   -6.7137366084e+00    3.4691987330e-01   -2.7092761222e+00   -1.2775667423e+01    1.4000000000e+02    3.0170000000e-03    7.5848214286e-01
        15   -1.0534911536e+01    1.1129513330e+02   -2.2472201490e+01    1.1937289954e+01   -7.3555947415e+00    5.7339061697e-01   -2.9143299420e+00   -1.2775667423e+01    1.4000000000e+02    2.8510000000e-03    7.5535714286e-01
        16   -1.0567285652e+01    1.1216455741e+02   -2.1588481601e+01    1.1021195949e+01   -6.9407855149e+00    4.8895520910e-01   -2.3609838720e+00   -1.2775667423e+01    1.4000000000e+02    2.9680000000e-03    7.6651785714e-01
        17   -1.0476182998e+01    1.1004156308e+02   -2.1575748937e+01    1.1099565939e+01   -6.8234359093e+00    6.5742646282e-01   -2.6340720671e+00   -1.2775667423e+01    1.4000000000e+02    2.8220000000e-03    7.6160714286e-01
        18   -1.0546368688e+01    1.1149998071e+02   -2.1766735394e+01    1.1220366706e+01   -6.6786859018e+00    3.4364245690e-01   -2.6560245261e+00   -1.2775667423e+01    1.4000000000e+02    2.8480000000e-03    7.7633928571e-01
        19   -1.0567322356e+01    1.1188659741e+02   -2.1139532011e+01    1.0572209656e+01   -5.8628313303e+00    4.2218241441e-01   -2.9232156722e+00   -1.2775667423e+01    1.4000000000e+02    2.9480000000e-03    7.6517857143e-01
        20   -1.0557358306e+01    1.1194399935e+02   -2.1631357432e+01    1.1073999126e+01   -6.8974023622e+00    6.8766028878e-01   -2.6459479351e+00   -1.2775667423e+01    1.4000000000e+02    2.8680000000e-03    7.6116071429e-01
        21   -1.0471792170e+01    1.0991887668e+02   -2.0946255385e+01    1.0474463215e+01   -6.2466734240e+00    8.4257887465e-01   -2.7664934121e+00   -1.2775667423e+01    1.4000000000e+02    2.9220000000e-03    7.5446428571e-01
        22   -1.0528568779e+01    1.1110026678e+02   -2.1449991618e+01    1.0921422839e+01   -6.4748682438e+00    5.8445349118e-01   -2.7839094423e+00   -1.2775667423e+01    1.4000000000e+02    2.9580000000e-03    7.5669642857e-01
        23   -1.0460083834e+01    1.0978317742e+02   -2.1497169394e+01    1.1037085560e+01   -6.6724943304e+00    7.6542485506e-01   -2.8144324952e+00   -1.2775667423e+01    1.4000000000e+02    2.8490000000e-03    7.6830357143e-01
        24   -1.0496484715e+01    1.1051991579e+02   -2.2426558955e+01    1.1930074240e+01   -7.3999769625e+00    4.1826556667e-01   -2.6691801361e+00   -1.2775667423e+01    1.4000000000e+02    3.0550000000e-03    7.6517857143e-01
        25   -1.0496552482e+01    1.1040955115e+02   -2.2227996009e+01    1.1731443527e+01   -7.0565950544e+00    4.7296045323e-01   -2.8686939849e+00   -1.2775667423e+01    1.4000000000e+02    2.9650000000e-03    7.4196428571e-01
        26   -1.0421636310e+01    1.0895458648e+02   -2.2140836403e+01    1.1719200093e+01   -7.3157251303e+00    6.8796108513e-01   -2.7374049345e+00   -1.2775667423e+01    1.4000000000e+02    2.9190000000e-03    7.6160714286e-01
        27   -1.0467762063e+01    1.0995514229e+02   -2.1702104980e+01    1.1234342917e+01   -6.7164022439e+00    5.7309219695e-01   -2.7831275096e+00   -1.2775667423e+01    1.4000000000e+02    2.9420000000e-03    7.5491071429e-01
        28   -1.0595470863e+01    1.1263606977e+02   -2.2752964256e+01    1.2157493393e+01   -7.8659667097e+00    7.2610854381e-01   -2.8374386667e+00   -1.2775667423e+01    1.4000000000e+02    2.8420000000e-03    7.5267857143e-01
        29   -1.0428047670e+01    1.0899958721e+02   -2.1206798343e+01    1.0778750673e+01   -6.1169322497e+00    4.7587749692e-01   -2.7900761670e+00   -1.2775667423e+01    1.4000000000e+02    2.8780000000e-03    7.6919642857e-01
        30   -1.0412218336e+01    1.0870334581e+02   -2.1669027644e+01    1.1256809308e+01   -6.4716938792e+00    3.7278928641e-01   -2.7944556284e+00   -1.2775667423e+01    1.4000000000e+02    2.8270000000e-03    7.6294642857e-01
        31   -1.0504681536e+01    1.1073215419e+02   -2.2080580466e+01    1.1575898930e+01   -7.2274715333e+00    7.6700178218e-01   -2.8444432914e+00   -1.2775667423e+01    1.4000000000e+02    3.2450000000e-03    7.7008928571e-01
        32   -1.0569007909e+01    1.1204902126e+02   -2.1905103650e+01    1.1336095741e+01   -6.8978612510e+00    4.9675821875e-01   -2.7283331941e+00   -1.2775667423e+01    1.4000000000e+02    2.9590000000e-03    7.7232142857e-01
        33   -1.0465154733e+01    1.0985233774e+02   -2.0848500761e+01    1.0383346028e+01   -5.7393212180e+00    4.3609795666e-01   -2.7696100763e+00   -1.2775667423e+01    1.4000000000e+02    3.1110000000e-03    7.4866071429e-01
        34   -1.0484662435e+01    1.1016648817e+02   -2.1594116417e+01    1.1109453982e+01   -6.6326657357e+00    5.7268494855e-01   -2.7584682061e+00   -1.2775667423e+01    1.4000000000e+02    3.0410000000e-03    7.6919642857e-01
        35   -1.0318441553e+01    1.0679174578e+02   -2.0906960060e+01    1.0588518507e+01   -6.0879291410e+00    4.5168140589e-01   -2.4950449011e+00   -1.2775667423e+01    1.4000000000e+02    3.0430000000e-03    7.5491071429e-01
        36   -1.0546450143e+01    1.1154365514e+02   -2.1241741494e+01    1.0695291351e+01   -6.5439717919e+00    8.0733954485e-01   -2.7294418239e+00   -1.2775667423e+01    1.4000000000e+02    3.1330000000e-03    7.5357142857e-01
        37   -1.0602636168e+01    1.1273956663e+02   -2.1557189784e+01    1.0954553616e+01   -7.3587601077e+00    6.0590165543e-01   -2.0286639084e+00   -1.2775667423e+01    1.4000000000e+02    3.0410000000e-03    7.4910714286e-01
        38   -1.0457479363e+01    1.0971998421e+02   -2.1563569994e+01    1.1106090631e+01   -6.8938586465e+00    8.6275850570e-01   -2.7568024296e+00   -1.2775667423e+01    1.4000000000e+02    2.9920000000e-03    7.6830357143e-01
        39   -1.0511378654e+01    1.1080716416e+02   -2.0894667576e+01    1.0383288922e+01   -5.6446715695e+00    3.5313408614e-01   -2.8274626698e+00   -1.2775667423e+01    1.4000000000e+02    3.1490000000e-03    7.6383928571e-01
        40   -1.0514895673e+01    1.1082659935e+02   -2.1369116611e+01    1.0854220938e+01   -6.6211915933e+00    6.6928900269e-01   -2.6415465968e+00   -1.2775667423e+01    1.4000000000e+02    3.1180000000e-03    7.8125000000e-01
        41   -1.0481718695e+01    1.1016799924e+02   -2.1448207965e+01    1.0966489270e+01   -6.8172465590e+00    7.5289307533e-01   -2.6081870585e+00   -1.2775667423e+01    1.4000000000e+02    3.1350000000e-03    7.4821428571e-01
